lga_code,lga_name,state,population_2024,births_2024,tfr_2024
71150,Darwin Waterfront Precinct,NT,309,0,N/P
71300,East Arnhem,NT,10040,143,1.51
71500,East Arnhem,NT,N/P,N/P,N/P
71700,Groote Archipelago,NT,N/P,N/P,N/P
72200,Katherine,NT,10857,182,1.89
72300,Litchfield,NT,23940,257,1.98
72330,MacDonnell,NT,6769,90,1.73
72800,Palmerston,NT,41598,732,1.97
73600,Roper Gulf,NT,7516,92,1.29
74050,Tiwi Islands,NT,2744,25,0.96
74550,Victoria Daly,NT,3307,46,1.68
74560,Wagait,NT,481,0,N/P
74660,West Arnhem,NT,7467,75,1.06
74680,West Daly,NT,3448,55,1.23
79399,Unincorporated NT,NT,7837,86,1.33
79499,No usual address (NT),NT,N/P,N/P,N/P
79799,Migratory - Offshore - Shipping (NT),NT,N/P,N/P,N/P
89399,Unincorporated ACT,ACT,N/P,N/P,N/P
89499,No usual address (ACT),ACT,N/P,N/P,N/P
89799,Migratory - Offshore - Shipping (ACT),ACT,N/P,N/P,N/P
99399,Unincorp. Other Territories,OT,N/P,N/P,N/P
99499,No usual address (OT),OT,N/P,N/P,N/P
99799,Migratory - Offshore - Shipping (OT),OT,N/P,N/P,N/P
ZZZZZ,Outside Australia,Outside Australia,N/P,N/P,N/P
