state_code,state,state_name,population_2024,births_2024,tfr_2024,lon,lat
1,NSW,New South Wales,8484357,89030,1.460,147.0,-32.2
2,VIC,Victoria,6981352,81193,1.521,144.3,-37.0
3,QLD,Queensland,5586322,58838,1.505,144.6,-22.0
4,SA,South Australia,1878029,18444,1.458,135.0,-30.1
5,WA,Western Australia,2965159,30541,1.434,121.0,-26.0
6,TAS,Tasmania,575366,5509,1.485,147.0,-42.0
7,NT,Northern Territory,255100,3521,1.629,133.4,-19.4
8,ACT,Australian Capital Territory,474132,5218,1.273,149.1,-35.3
